_time,session_id,customer_id,event_type,device,region,genre,plan_tier_raw,duration_sec,buffer_ms,bitrate_label,error_code,watch_pct_raw,rating_raw
2026-06-01 03:34:30,sess_000912,cust_0123,session_start,Smart TV,Europe,,Basic,0,0,,,,
2026-06-01 03:42:33,sess_000912,cust_0123,play,Smart TV,Europe,Documentary,Basic,1407,0,480p-2000kbps,,,
2026-06-01 03:54:52,sess_000912,cust_0123,play,Smart TV,Europe,Drama,Basic,1734,0,720p-3000kbps,,,
2026-06-01 04:07:37,sess_000912,cust_0123,play,Smart TV,Europe,Drama,Basic,486,0,8000kbps,,,
2026-06-01 04:19:17,sess_000912,cust_0123,play,Smart TV,Europe,SciFi,Basic,997,0,1080p-8000kbps,,,
2026-06-01 04:21:32,sess_000912,cust_0123,play,Smart TV,Europe,SciFi,Basic,571,0,1500kbps,,,
2026-06-01 04:23:00,sess_000912,cust_0123,buffer,Smart TV,Europe,Comedy,Basic,0,1262,,,,
2026-06-01 04:25:18,sess_000097,cust_0077,session_start,Console,Africa,,standard,0,0,,,,
2026-06-01 04:33:42,sess_000912,cust_0123,error,Smart TV,Europe,Documentary,Basic,0,0,,E2002,,
2026-06-01 04:35:03,sess_000097,cust_0077,play,Console,Africa,Documentary,standard,1282,0,4500kbps,,,
2026-06-01 04:43:29,sess_000912,cust_0123,play,Smart TV,Europe,Kids,Basic,1758,0,720p-4500kbps,,,
2026-06-01 04:48:36,sess_000097,cust_0077,play,Console,Africa,Horror,standard,1441,0,1080p-8000kbps,,,
2026-06-01 04:49:21,sess_000912,cust_0123,pause,Smart TV,Europe,Documentary,Basic,0,0,,,,
2026-06-01 04:58:29,sess_000912,cust_0123,play,Smart TV,Europe,Kids,Basic,1641,0,4500 kbps,,,
2026-06-01 04:58:50,sess_000097,cust_0077,error,Console,Africa,Comedy,standard,0,0,,E1001,,
2026-06-01 04:59:36,sess_000912,cust_0123,session_end,Smart TV,Europe,,Basic,0,0,,,75%,5.0
2026-06-01 05:02:40,sess_000097,cust_0077,play,Console,Africa,Documentary,standard,1129,0,480p-2000kbps,,,
2026-06-01 05:03:05,sess_000097,cust_0077,session_end,Console,Africa,,standard,0,0,,,80%,N/A
